id,biz-name,biz-contact,biz-phone,category ,sub-category ,location-post-code ,main-office-address ,email ,operating-hours ,abn,license-number ,services-provided ,Recommendation 
42,Northern Beaches Electrical,,410421780,Electricians ,,2099,20/1-7 Boronia Street Dee Why NSW 2099,info@northernbeacheselectrical.com.au,24 hours ,33 886 714 976,,General Light and Power Installations; Garden lighting and public area lighting; Stove & Over Fan and Element replacemnets; Electrical requirements for Commercial Air conditioning systems; Consumer Mians upgrades; Hot Water Elements and thormostats replaced; Data and telephone point installations; Pool and Spa electrical requirements; Pay TV and Free to Air TV Cabling; Emergency Lighting Installations and Audits and Maintenance; Earth Leakage Safety Switches; Commercial Rain Water Tanks; Borepumps;Control Panel Supply and Installations; Swtitchboard Upgrades and installation; Test and Tagging of appliances; fire and smoke detectors; Intercoms; Floor heating supply and controls C-Bus Automation systems,
43,NZM Electrical Services,,405070107,Electricians ,,2131,Ashfield NSW 2131,info@nzmelectrical.com.au,24 hours ,48 924 049 493,,Residential electrician; Comercial electrician; Industrial electrician; Power point installation; Light installation; Free Electrical quote; fault finding; Switchboard upgardes; smoke alarm installation; 24 hour emergency electrician; Tesla Wall Connector installation; EV Charger installation ,
44,Bankstown Auto Electrics,,297964665,Electricians ,,2200,119 Canterbury Road Bankstown NSW 2200,,8 am to 5.30 pm ,87 063 633 367,,Auto electrical repairs; Starter motor repairs; Alternator repairs; batteries; Air conditioning service/re-gas ,
45,Proud Bako Electrical and Solar services Pty Ltd,,478700570,Electricians ,,2200,Shop 17/83-99 North Terrace Bankstown NSW 2200,info@proudbakoelectrical.com,24 hours ,63 645 517 479,,Electrical; Electrical repairs; New home installation; Solar panel installation; solar panel maintenance; switchboard and power points,
46,Justine,,61415214288,electrician,,2173,,,,,,,
47,Neil Sanders,,61416263261,plumber,,2172,,,,,,,
48,Chris,,61410679877,electrician,,2173,,,,,,,
49,Peter,,61409715714,plumber,,2173,,,,,,,
50,Poo,,61417271270,plumber,,2173,,,,,,,
51,Surya Glass mirror,,61481834897,glazier,,2173,,,,,,,
52,Jay Hybrid,,61432485134,flooring,,2165,,,,,,,
53,MBR Home Improvements,Manish,61410435874,decking,,2153,,,,,,,
54,Yilmiz Downlights,,61416614435,electrician,,2223,,,,,,,
55,Veysel,,61414610589,plumber,,2223,,,,,,,
56,Matt,,61410333993,plumber,,2223,,,,,,,
57,NSW Solar Hub,Mani Shankar,61412350293,solar,,2570,46 Holden Dr; Oran Park NSW 2570,accounts@nswsolarhub.com.au,,14650793178,,,
58,King Red Pest Control, Adam or Mark,+61414643040,pest control,,2155,Kellyville NSW 2155,office@krpestcontrol.com.au,,84 615 686 078,,,
59,David Lynch Pest Control, David Lynch,+61421963093,pest control,,2155,53 Wilkins Ave,,,,,,
60,Plumber for 153 Farnham,,+61412410307,plumber,,2820,,,,,,,
61,Golden Cleaner,Lily,+61434822664,cleaner,,2153,,cleanerinsydney@hotmail.com,,,,,
62,Dilsher Aol,,+61404471524,carpenter,,2762,Schofields,,,,,,
63,Gurpreet Carpenter,,+61404648512,carpenter,,2762,,,,,,,
64,Good Cheap Fast,Niral,+61433696901,carpenter,,2762,,,,,,,
65,Sameer Carpenter,,+61457524802,carpenter,,2762,,,,,,,
66,Trevor,,+61411316745,tradie,,2762,,,,,,,
67,Wrights Plumbing,Nathan,+61466829704,plumber,,2762,,,,,,,
68,Electrician,,+61420102139,electrician,,2762,,,,,,,
69,Majestic Plumbing Services,,+61410100144,plumber,,2153,,majesticplumbingservices@hotmail.com,,59 644 258 284,359784C,,
69,Western Syndey Plumber,,+61489908524,plumber,,2762,,,,,269464C,,
70,Water On Plumbing,John,+61421045845,plumber,,2763,,,,14 243 609 526,,,
71,Khurshid,Khurshid,+61470453001,plumber,,2762,,,,,,,
72,Mario Carpenter,Mario,+61419016834,carpenter,,2762,,,,,,,
73,Timeless plumbing,,+61411217174,plumbing,,2045, 211A Liverpool Rd Haberfield NSW 2045,,,,,,
74,The Local Electrician,,+61483900350,electrician,,2762,,,,,324518C,,
75,Service Heroes,,+61480030122,electrician,,2762,,,,,,,
76,Emergency Plumber,,+61411217174,plumber,,2762,,,,,309598C,,
77,Spinner's,,1300774663,tradie,,2762,,,,,,,
78,Sydney Drain Doctor,,1300359988,plumber,,2040,20 Marlborough St Leichhardt New South Wales 2040 Australia,,,,,,
79,Air Tight Seals,Frdige Door Seals,+61436447325,doors,,2762,,,,,,,
80,OB Plumb,Jim O'Brien,+61499418867,plumber,,2762,,,,,,,
81,Hello Plumbing,,1300303055,plumber,,2085,27/19 Narabang Way Belrose NSW 2085,info@helloplumbing.com.au,7 am to 3 pm,57 800 680 621,,,
82,Ryan Gardening,,+61450603135,Gardening,,2765,,,,,,,
83,Michael Bathroom Renovation,Michale Antoun,+61419426834,Bathroom,,2173,,,,,,,
84,Quickset Plumbing,Abdul Rahmat,+61452206952,plumber,,2143,124 Cooper Rd Birrong NSW 2143,,,71 865 044 218,313116c,,
85,Mangesh Shinde,,+61430478780,electrician,,2173,,,,,,,
86,Suresh Londhe,,+61473733733,electrician,,2173,,,,,,,
87,Vasun Singh,,+61405163916,landscaper,,2173,,,,,,,
88,Anthony Moujalli,,+61413066086,gas,,2173,,,,,,,
89,Daniel Concrete Work,,+61447466666,concreting,,2173,,,,,,,
90,BC Gardening & Lawn Mowing,,+61416104699,Gardening,,2173,,,,,,,
91,Willian Lawn Mower,,+61473527928,Lawn Mowing,,2173,,,,,,,
92,Osama,,+61415913937,carpenter,,2173,,,,,,,
93,Bismilah Ibraheem,,+61426915431,tiler,,2173,,,,,,,
94,Abdula,,+61416216111,tiler,,2173,,,,,,,
95,Lee Kitchen,,+61426897373,Kitchen,,2173,,,,,,,
96,Shepherd Plumbing,,+61434406799,plumber,,2173,,,,,,,
97,Peter Pergola,,+61452234357,Pergola,,2173,,,,,,,
98,Rick Concreter,,+61418402080,Concreter,,2173,,,,,,,
99,Sarj,,+61418652577,pool,,2173,,,,,,,
100,Hieu Huy,,+61458937034,Concreter,,2564,,,,,,,
101,Beau Concreter,,+61422153647,Concreter,,2564,,,,,,,
102,Armany Concreter,,+61402960319,Concreter,,2564,,,,,,,
103,TVC Concreting,Cuong,+61414898133,Concreter,,2564,,,,,,,
104,Kevin Concreting,Kevin,+61412142396,Concreter,,2564,,,,,,,
105,Arvind Electrical,Arvind,+61425237444,electrician,,2564,,,,,,,
106,Mike Electrical,Mike,+61415588331,electrician,,2564,,,,,,,
107,Auto Electrician,Hicmet,+61405315457,car mechanic,,2564,,,,,,,
108,Patrick,,+61437632416,plumber,,2564,,,,,,,
109,Philip Lum,,+61412818344,plumber,,2564,,,,,,,
110,Mike,,+61431728640,plumber,,2564,,,,,,,
111,Sunroof restoration,,+61411674607,sunroof,,2564,,,,,,,
112,Austral Roofing,Kyle,+61484199625,roofing,,2564,,,,,,,
113,Slavko Milic,,+61407903414,roofing,,2564,,,,,,,
114,Ali Tiler,,+61413263630,tiler,,2564,,,,,,,
115,Sydney Landscaping,Kannan,+61434641141,landscaper,,2564,,,,,,,
116,Steve Lancaster,,+61409705764,landscaper,,2315,,,,,,,
117,Payless Mechanical,Jack Shaker,+61896187255,car mechanic,,2315,,,,,,,
118,Nu-Mech Automotive Service,Steven Lo,+61401745143,car mechanic,,2170,Unit 21/7 Lyn Parade Prestons NSW 2170,,,,,,
119,Osama Aircon Mech,,+61426257642,car mechanic,,2564,,,,,,,
120,Multi Tree and Garden Services,Ned,0404044984,Arborist,Tree removal assessments,2141,Lidcombe NSW, multitreeservices@gmail.com,,95 237 686 419,,,
121,Northern Beaches Arborist,Sebastian,0423914950,Arborist,,2100,3 Bindi Place Beacon Hill,info@northernbeachesarborist.com.au,,49372186740,,Tree Removal,
122,Hopping Service Centre,,02 9638 5777,Gardening Equipment Repairs, Lawnmower Repairs,2116,251 Victoria Rd Rydalmere,hhoping@bigpond.net.au,,79000827529,,Lawnmower repairs,
123,Spannenberg and Son,Ben,0418455770,Home Extension Builder,,2107,145 Avalon Parade Avalon Beach,ben@spannenberg.com.au,,61000881292,8195,Home extension builder,
124,Raj Bathala,,+61416946638,handyman,,2769,,,,,,,
125,Aussie Seal Garage Door,,+61460776210,Garage door,,2769,,,,,,,
126,Koban,,+61414597770,car mechanic,,2769,,,,,,,
127,Abdul,,+61451500155,plumber,,2170,,,,,,,
128,Shepherd Plumbing,,+61434406799,plumber,,2170,,,,,,,
129,Chris Marvin,,+61410679877,electrician,,2170,,,,,,,
130,Kannan Painting,Kannan,+61451995872,painter,,2145,,,,,,,
131,Neim Security Cameras,Neim,+61481206619,security cameras,,2145,,,,,,,
132,AL Security Alamrs,AL,+61402682157,security cameras,,2564,,,,,,,
133,Supreme Car,Alex,+61296078096,car mechanic,,2564,,,,,,,
134,Simon,,+61450554613,Flooring,,2570,,,,,,,
135,Snake catcher,,+61455570000,Snake Catcher,,2570,,,,,,,
136,Roof spray,,+61449574169,Roofer,,2570,,,,,,,
137,pest control,,+61476856078,Pest Control,,2570,,,,,,,
138,Chen,,+61422873296,Painter,,2570,,,,,,,
139,Mark,,+61433033084,Painter,,2570,,,,,,,
140,Marco,,+61419518547,Electrician,,2570,,,,,,,
141,Joey,,+61415559994,Glazier,,2570,,,,,,,
142,He,,+61405202866,Gyprock,,2570,,,,,,,
143,Sebastian Bass,,+61450005809,Electrician,,2070,,,,,,,
144,Ray,,+61431846755,Pest Control,,2070,,,,,,,
145,Jack Deng,,+61294889034,Dentist,,2070,,,,,,,
146,Daniel Petrowski,,+61405415843,Builder Inspector,,2070,,,,,,,
147,Howard,,+61418259838,handyman,,2070,,,,,,,
148,Michael,,12341234,Tiler,,2070,,,,,,,
149,Podiatrist,,980-819-66,Podiatrist,,2070,,,,,,,
150,Tham,,+61431644319,Pergola,,2070,,,,,,,
151,Tom & Sarah Zeng,,+61431644319,Landscaper,,2070,,,,,,,
152,Todd Tree Service,Jeremy,+61422195889,Tree looper,,2763,,,,,,,
153,Jason Antenna,Jason,+61410684160,TV,,2763,,,,,,,
154,Satnam Handyman,Satnam,+61433209031,handyman,,2763,,,,,,,
155,Pratik,,+61433880545,solar,,2763,,,,,,,
156,Swish Plumbing,Matt,+61402547293,plumbing,,2763,,,,,,,
157,Plumbmaster,Damien Palona,+61430054007,plumbing,,2763,Marayong,,,,,,
158,Darren,,+61406785338,plumbing,,2763,,,,,,,
159,George,,+61424726979,plumbing,,2763,,,,,,,
160,Brandon,,+61420554724,plumbing,,2763,,,,,,,
161,Kim,,+61481171113,plumbing,,2763,,,,,,,
162,Todd Warner,,+61410492015,plumbing,,2763,,,,,,,
163,Dean Marsh,,+61466568741,electrician,,2763,,,,,,,
164,Raj,,+61400886961,electrician,,2763,,,,,,,
165,Knorr Bremse,Kumar,+61425199522,aircon,,2763,,,,,,,
166,Joe Lawn mowing,Joe,+61412388077,lawn mowing,,2763,,,,,,,
166,Mark,,+61411459609,lawn mowing,,2763,,,,,,,
167,Guy,,+61452433233,lawn mowing,,2763,,,,,,,
168,Michael,,+61423117728,lawn mowing,,2763,,,,,,,
169,Aaron,,+61425267524,electrician,,2179,,,,,,,
170,Harry,,+61426280744,landscaper,,2179,,,,,,,
171,Liem,,+61424033352,plumber,,2179,,,,,,,
172,Wattle Grove Aircon,,+61291191034,aircon,,2173,,,,,,,
173,Champion Auto,,+61414658900,car mechanic,,2173,,,,,,,
174,Wendy Bathroom Hire,,+61419205919,bathroom,,2173,,,,,,,
175,Joy Architect,,+919447181802,architect,,2173,,,,,,,
176,Bing Gas Stove,,+61404472388,gas,,2173,,,,,,,
177,Edcon Steel,,1300233266,steel,,2148,Blacktown,,,,,,
178,James Cleaner,,+61469031663,cleaner,,2173,,,,,,,
179,Samy Cleaner,,+61414798026,cleaner,,2173,,,,,,,
180,Central Airconditioning,,+61296006955,aircon,,2173,,,,,,,
181,HSM Pest Control,,+61450246235,pest control,,2173,,,,,,,
182,Paul,,+61434616388,electrician,,2173,,,,,,,
183,ANH,Arul Naidu,+61430959907,builder,,2173,,,,,,,
184,Darryl,,+61417682645,builder,,2173,,,,,,,
185,Grant Fin,,+61437399234,builder,,2173,,,,,,,
186,Caitlin,,+61296460693,physio,,2173,,,,,,,
187,Kurt,,+61297254001,car mechanic,,2173,,,,,,,
188,Anthony,,+61470292395,carpenter,,2173,,,,,,,
189,Adam Steve,,+61296445974,car mechanic,,2173,,,,,,,
190,Asha Catering,,+61412378050,catering,,2173,,,,,,,
191,Tony,,+61421853312,electrician,,2173,,,,,,,
192,Liju,,+61469841693,electrician,,2173,,,,,,,
193,Mahesh,,+61414914919,electrician,,2173,,,,,,,
194,Sydney Fire Extinguisher,Shaun,+61416364150,fire extinguisher,,2173,,,,,,,
195,Jacob,,+61413890510,flooring,,2173,,,,,,,
196,Thileepan,,+61452399254,flooring,,2173,,,,,,,
197,Garden shed,,+61499000955,garden shed,,2173,,,,,,,
198,Ryan,,+61403568747,lawn mower,,2173,,,,,,,
199,Johnny,,+61427277168,car mechanic,,2170,,,,,,,
200,Navdeep,,+61212012456,car mechanic,,2170,,,,,,,
201,Angelo,,+61422292582,lawn mower,,2173,,,,,,,
202,Reji,,+61421746270,electrician,,2173,,,,,,,
203,David Smash Repairs,,+61475884743,smash repairer,,2760,,,,,,,
204,Wattle Grove Cleaners,David,+61430486132,cleaner,,2173,,,,,,,
