category,text
Concreter,"Laying concrete pavers for driveways, walkways, or other outdoor surfaces."
Concreter,Pouring and constructing concrete foundations for buildings and structures.
Concreter,Creating molds or formwork to shape the concrete into specific structures before pouring.
Concreter,"Installing concrete slabs to provide a solid base for sheds, garages, or other outbuildings."
Concreter,Creating a decorative finish by exposing the aggregate (gravel or stones) in the concrete surface.
Concreter,Applying a new layer of concrete over an existing surface to refresh and improve its appearance.
Concreter,Polishing and finishing concrete floors for a smooth and glossy appearance.
Concreter,Adding pigments or dyes to the concrete mix to achieve colored or decorative finishes.
Concreter,"Applying sealants to protect concrete surfaces from stains, weathering, and damage."
Concreter,"Repairing damaged or cracked concrete surfaces through patching, resurfacing, or other repair methods."
Concreter,"Cutting or drilling into cured concrete to create openings for doors, windows, or utility installations."
Concreter,"Installing concrete curbs along driveways, walkways, or landscaped areas."
Painters and Decorators,"Painting walls, ceilings, and trim inside residential or commercial properties."
Painters and Decorators,"Applying paint to the exterior surfaces of buildings, including walls, siding, and trim."
Painters and Decorators,Creating accent or feature walls with different colors or decorative finishes.
Painters and Decorators,Painting or repainting ceilings to enhance the overall look of a room.
Painters and Decorators,Refinishing or repainting kitchen cabinets or other built-in furniture.
Painters and Decorators,"Painting doors, windows, baseboards, crown molding, and other woodwork."
Painters and Decorators,Applying stains or varnishes to wood surfaces for a protective and decorative finish.
Painters and Decorators,Installing or removing wallpaper to add texture or patterns to walls.
Painters and Decorators,Applying textured paint or other techniques to create unique wall finishes.
Painters and Decorators,"Implementing decorative painting techniques such as faux finishes, stenciling, or murals."
Painters and Decorators,"Painting intricate details on the exterior, such as window frames and architectural features."
Painters and Decorators,"Painting or staining outdoor decks, fences, and other wooden structures."
Painters and Decorators,"Applying epoxy coatings to floors, countertops, or other surfaces for durability and a glossy finish."
Painters and Decorators,"Providing painting services for commercial spaces, including offices, retail stores, and industrial buildings."
Painters and Decorators,Painting newly constructed buildings or homes.
Painters and Decorators,Restoring and repainting older structures to preserve their aesthetic appeal.
Painters and Decorators,Providing guidance on color selection and coordination for a cohesive and pleasing look.
Painters and Decorators,"Repairing and patching holes, cracks, or imperfections in drywall before painting."
Painters and Decorators,"Applying waterproof coatings to surfaces, especially in areas prone to moisture."
Roofing Specialist,"Installing new roofing systems on residential, commercial, or industrial buildings."
Roofing Specialist,Removing and replacing an existing roof with a new one.
Roofing Specialist,"Repairing damaged or leaking roofs, including fixing leaks, replacing shingles, or patching damaged areas."
Roofing Specialist,"Providing immediate repairs in response to unexpected damage, such as storm damage or leaks."
Roofing Specialist,"Conducting thorough inspections of roofs to assess their condition, identify issues, and recommend repairs or replacements."
Roofing Specialist,Installing new gutters or repairing existing ones to ensure proper water drainage from the roof.
Roofing Specialist,"Installing or repairing metal flashings around chimneys, vents, and other roof penetrations to prevent water leaks."
Roofing Specialist,Installing or repairing skylights to allow natural light into the building.
Roofing Specialist,Ensuring proper ventilation in the attic space by installing or repairing vents to prevent moisture buildup.
Roofing Specialist,Applying protective coatings to extend the lifespan of the roof and enhance its resistance to weather elements.
Roofing Specialist,Removing accumulated snow from the roof to prevent structural damage and ice dams.
Roofing Specialist,"Cleaning and treating roofs to remove moss, algae, or other organic growth."
Roofing Specialist,Identifying and locating the source of roof leaks and implementing necessary repairs.
Roofing Specialist,Implementing regular maintenance programs to extend the life of the roof and address issues proactively.
Roofing Specialist,Applying waterproofing treatments to protect the roof from water infiltration.
Roofing Specialist,Installing reflective or energy-efficient roofing materials to reduce energy consumption.
Roofing Specialist,Installing snow guards to prevent snow and ice from sliding off the roof in large chunks.
Roofing Specialist,"Providing roofing services for commercial and industrial properties, including flat roofs and specialized roofing systems."
Roofing Specialist,Installing green roofs with vegetation for environmental benefits and energy efficiency.
Electrician,"Installing new electrical systems in buildings, including wiring, outlets, switches, and fixtures."
Electrician,Upgrading existing electrical systems to meet current safety codes or accommodate increased power demands.
Electrician,"Installing indoor and outdoor lighting fixtures, including recessed lighting, chandeliers, and landscape lighting."
Electrician,Installing ceiling fans for air circulation and temperature control.
Electrician,Adding or relocating electrical outlets and switches for convenience and functionality.
Electrician,Upgrading electrical panels to accommodate additional circuits or meet safety standards.
Electrician,Replacing or upgrading circuit breakers to improve electrical safety and prevent overloads.
Electrician,Rewiring buildings to replace outdated or unsafe wiring systems.
Electrician,Installing backup generators to provide power during outages.
Electrician,"Wiring and connecting household appliances, such as stoves, ovens, and dishwashers."
Electrician,"Wiring and installing security systems, including cameras, alarms, and access control systems."
Electrician,"Installing wiring for data and networking systems, including Ethernet and telephone cables."
Electrician,"Setting up and integrating smart home automation systems, including smart lighting, thermostats, and security."
Electrician,Conducting inspections to assess the safety and compliance of electrical systems.
Electrician,"Identifying and fixing electrical issues, such as power outages, faulty outlets, or flickering lights."
Electrician,Ensuring that electrical installations and repairs comply with local building codes and safety standards.
Electrician,Providing advice and recommendations for electrical projects and upgrades.
Electrician,Designing and implementing lighting plans for both aesthetic and functional purposes.
Electrician,"Responding to emergency situations, such as electrical failures or safety hazards."
Air Conditioning and Refrigeration Services specialists,"Installing new air conditioning systems for residential, commercial, and industrial buildings."
Air Conditioning and Refrigeration Services specialists,Replacing or upgrading existing air conditioning units for improved efficiency and performance.
Air Conditioning and Refrigeration Services specialists,Installing and repairing ductwork for proper air distribution in heating and cooling systems.
Air Conditioning and Refrigeration Services specialists,"Installing refrigeration systems for commercial and industrial applications, such as walk-in coolers and freezers."
Air Conditioning and Refrigeration Services specialists,Performing routine maintenance to ensure the efficient operation of heating and cooling systems.
Air Conditioning and Refrigeration Services specialists,Replacing air filters in HVAC systems to maintain air quality and system efficiency.
Air Conditioning and Refrigeration Services specialists,"Installing, calibrating, and troubleshooting thermostats for accurate temperature control."
Air Conditioning and Refrigeration Services specialists,Adding or recharging refrigerant in air conditioning and refrigeration systems to maintain proper cooling.
Air Conditioning and Refrigeration Services specialists,Installing ductless HVAC systems for individual room or zone control.
Air Conditioning and Refrigeration Services specialists,Installing and repairing heat pump systems that provide both heating and cooling.
Air Conditioning and Refrigeration Services specialists,Upgrading components of HVAC systems for improved energy efficiency and performance.
Air Conditioning and Refrigeration Services specialists,Providing emergency repair services for air conditioning and refrigeration systems.
Air Conditioning and Refrigeration Services specialists,"Repairing refrigeration equipment in commercial settings, such as restaurants and supermarkets."
Air Conditioning and Refrigeration Services specialists,Cleaning coils to maintain optimal heat exchange efficiency in HVAC and refrigeration systems.
Air Conditioning and Refrigeration Services specialists,Balancing air distribution in HVAC systems to ensure consistent temperatures throughout a building.
Air Conditioning and Refrigeration Services specialists,"Implementing solutions to enhance indoor air quality, such as air purifiers and ventilation systems."
Air Conditioning and Refrigeration Services specialists,Installing systems to control humidity levels in indoor spaces.
Air Conditioning and Refrigeration Services specialists,Conducting energy audits to identify opportunities for energy savings in HVAC systems.
Air Conditioning and Refrigeration Services specialists,Integrating smart technology for remote monitoring and control of HVAC systems.
Plumber,"Installing water supply pipes and drainage pipes in residential, commercial, and industrial buildings."
Plumber,"Installing plumbing fixtures such as sinks, faucets, toilets, showers, and bathtubs."
Plumber,"Installing, repairing, or replacing water heaters, including tankless and traditional water heaters."
Plumber,"Locating and repairing leaks in water pipes, gas lines, and fixtures."
Plumber,Clearing clogged drains and sewer lines using methods such as snaking or hydro-jetting.
Plumber,"Conducting camera inspections of sewer lines to identify blockages, leaks, or damage."
Plumber,"Installing and repairing gas lines for appliances like stoves, ovens, and water heaters."
Plumber,"Repairing damaged or corroded pipes, including pipe patching or replacement."
Plumber,Installing and testing backflow prevention devices to protect the water supply from contamination.
Plumber,Upgrading or replacing old plumbing fixtures for improved efficiency and aesthetics.
Plumber,Installing and adjusting pressure regulators to ensure proper water pressure.
Plumber,Ensuring that plumbing installations comply with local building codes and regulations.
Plumber,Installing septic systems and providing maintenance services to ensure proper functioning.
Plumber,Providing 24/7 emergency plumbing services for urgent issues like burst pipes or severe leaks.
Plumber,Installing water filtration systems to improve the quality of drinking water.
Plumber,"Connecting appliances, such as dishwashers and washing machines, to the plumbing system."
Plumber,Installing and repairing garbage disposal units in kitchen sinks.
Plumber,Installing and repairing hydronic heating systems that use water to distribute heat.
Plumber,Conducting inspections of plumbing systems for real estate transactions or routine maintenance.
Gasfitter,"Installing gas appliances such as stoves, ovens, water heaters, and space heaters."
Gasfitter,Installing gas lines to supply gas to appliances or other equipment.
Gasfitter,Repairing damaged or leaking gas lines to ensure safety and prevent gas leaks.
Gasfitter,Fitting and connecting gas pipes for proper gas distribution within a building.
Gasfitter,Installing gas meters or upgrading existing ones to measure gas consumption accurately.
Gasfitter,Conducting pressure tests on gas lines to ensure they can withstand the required pressure without leaks.
Gasfitter,Detecting and repairing gas leaks in the gas lines or at appliance connections.
Gasfitter,Installing and maintaining ventilation systems for gas appliances to ensure proper airflow and safety.
Gasfitter,Installing or replacing control valves to regulate the flow of gas to appliances.
Gasfitter,Installing gas fireplaces and providing maintenance services for optimal performance.
Gasfitter,Installing gas lines and connections for outdoor gas barbecue grills.
Gasfitter,"Converting gas appliances to use a different type of gas (e.g., from natural gas to propane)."
Gasfitter,Conducting inspections of gas appliances to ensure they meet safety standards.
Gasfitter,Installing and repairing gas heaters for residential or commercial spaces.
Gasfitter,Installing and providing maintenance for gas boilers used in heating systems.
Gasfitter,Installing and repairing gas-powered hot water systems for residential or commercial use.
Gasfitter,Relocating existing gas lines to accommodate changes in building layout or renovations.
Gasfitter,Upgrading gas appliances for improved energy efficiency and performance.
Gasfitter,"Providing emergency services for gas-related issues, such as gas leaks or malfunctioning appliances."
Cabinet maker,Designing and building custom cabinets tailored to specific spaces and requirements.
Cabinet maker,Installing kitchen cabinets to optimize storage and enhance the overall kitchen design.
Cabinet maker,Building and installing custom bathroom vanities for functional and aesthetic purposes.
Cabinet maker,"Designing and constructing built-in furniture such as bookshelves, entertainment centers, and window seats."
Cabinet maker,Designing and installing customized wardrobe and closet storage solutions.
Cabinet maker,Creating and installing cabinets for home offices or commercial office spaces.
Cabinet maker,"Refacing existing cabinets by replacing doors, drawers, and hardware to give them a fresh appearance."
Cabinet maker,"Repairing damaged cabinets by fixing issues such as broken doors, drawers, or hardware."
Cabinet maker,"Designing and building custom shelving units for various purposes, including storage and display."
Cabinet maker,"Applying finishes such as stains, paints, or varnishes to cabinets for protection and aesthetics."
Cabinet maker,"Adding decorative moldings, trims, and embellishments to cabinets for a finished look."
Cabinet maker,"Building custom kitchen islands with storage, seating, or specific design features."
Cabinet maker,"Installing handles, knobs, hinges, and other hardware for functional and decorative purposes."
Cabinet maker,Designing and installing cabinets in laundry rooms for storage and organization.
Cabinet maker,"Creating custom cabinetry for home theater systems, including entertainment centers and media storage."
Cabinet maker,Designing and building cabinets and bookcases for displaying items or storing books.
Cabinet maker,Integrating lighting solutions into cabinets for improved visibility and ambiance.
Cabinet maker,Constructing cabinets designed for bars or beverage storage areas.
Cabinet maker,"Building weather-resistant cabinets for outdoor kitchens, patios, or other outdoor living spaces."
Joinery services specialist,Crafting custom-made wooden elements tailored to specific design requirements and preferences.
Joinery services specialist,"Installing interior and exterior wooden doors, including custom or specialty doors."
Joinery services specialist,Crafting and installing wooden window frames and sashes for residential and commercial properties.
Joinery services specialist,"Designing, building, and installing wooden staircases for homes, offices, or other spaces."
Joinery services specialist,"Creating and installing built-in wooden furniture such as bookshelves, wardrobes, and cabinets."
Joinery services specialist,"Crafting decorative wooden elements for architectural features, including moldings, cornices, and trim."
Joinery services specialist,Installing wooden paneling on walls or ceilings for decorative and architectural purposes.
Joinery services specialist,Crafting and fitting wooden skirting boards and moldings to enhance the aesthetics of a space.
Joinery services specialist,"Installing wooden flooring, including parquet, hardwood, or engineered wood flooring."
Joinery services specialist,"Designing and crafting custom wooden furniture pieces such as tables, chairs, and bed frames."
Joinery services specialist,Installing wooden cladding on interior or exterior surfaces for a decorative or protective finish.
Joinery services specialist,"Crafting and installing wooden elements in bathrooms, such as vanity units and cabinets."
Joinery services specialist,"Designing and installing custom wooden kitchen cabinets, islands, and storage solutions."
Joinery services specialist,"Crafting and installing wooden fixtures for shops and retail spaces, including shelving and display units."
Joinery services specialist,Crafting and installing wooden reception desks and counters for commercial spaces.
Joinery services specialist,"Creating bespoke wooden elements for restaurants, cafes, and hotels, such as bar counters and seating."
Joinery services specialist,Installing wooden partitions to divide spaces within residential or commercial buildings.
Joinery services specialist,"Crafting and installing wooden surrounds for fireplaces, adding a decorative touch."
Joinery services specialist,"Crafting wooden structures for outdoor spaces, including pergolas, decking, and fences."
Auto mechanic,"Using diagnostic tools to identify and troubleshoot issues with the vehicle's engine, transmission, brakes, and other systems."
Auto mechanic,"Performing scheduled maintenance tasks, such as oil changes, filter replacements, and fluid checks."
Auto mechanic,"Inspecting, repairing, or replacing brake components, including pads, rotors, calipers, and brake lines."
Auto mechanic,"Rotating tires, balancing, aligning, and replacing tires as needed."
Auto mechanic,"Repairing or overhauling the engine, including addressing issues with the fuel system, ignition system, and exhaust system."
Auto mechanic,Diagnosing and repairing problems with automatic or manual transmissions.
Auto mechanic,"Repairing or replacing components of the suspension and steering systems, including shocks, struts, and tie rods."
Auto mechanic,"Diagnosing and fixing electrical issues, such as problems with the battery, alternator, starter, and wiring."
Auto mechanic,"Repairing or replacing components of the cooling system, including the radiator, water pump, and thermostat."
Auto mechanic,"Diagnosing and repairing issues with the HVAC system, including air conditioning and heating components."
Auto mechanic,"Repairing or replacing components of the exhaust system, such as the muffler, catalytic converter, and exhaust pipes."
Auto mechanic,"Addressing issues with the fuel injection system, fuel pump, and fuel filter."
Auto mechanic,Investigating and resolving issues indicated by the check engine light.
Auto mechanic,Replacing the vehicle's battery when it is worn out or no longer functional.
Auto mechanic,Adjusting the alignment of the wheels to ensure proper handling and tire wear.
Auto mechanic,Replacing the timing belt according to the manufacturer's recommended schedule.
Auto mechanic,Conducting inspections for individuals considering buying a used vehicle.
Auto mechanic,"Providing assistance for common roadside issues, such as jump-starts, tire changes, and lockouts."
Auto mechanic,Installing aftermarket parts or accessories to enhance the vehicle's performance and appearance.
Landscaper,"Creating comprehensive landscape designs that consider the layout, plant selection, hardscape elements, and overall aesthetics."
Landscaper,"Establishing new lawns through seeding or sodding and providing ongoing lawn care, including mowing, fertilizing, and aerating."
Landscaper,"Designing and planting gardens with a variety of flowers, shrubs, trees, and other plants to achieve a desired look."
Landscaper,"Installing hardscape features such as patios, walkways, driveways, retaining walls, and outdoor living spaces."
Landscaper,Installing automated irrigation systems to ensure proper watering of plants and maintaining irrigation components.
Landscaper,"Pruning trees and shrubs to promote healthy growth, shape, and aesthetics."
Landscaper,"Applying mulch to garden beds to conserve moisture, suppress weeds, and enhance the appearance of the landscape."
Landscaper,"Installing outdoor lighting to enhance safety, highlight key features, and extend the usability of outdoor spaces at night."
Landscaper,Conducting soil tests and amending soil conditions to improve fertility and drainage.
Landscaper,Introducing seasonal plants and flowers to provide year-round interest and color.
Landscaper,Installing drip irrigation systems for efficient and targeted watering of plants.
Landscaper,"Overhauling existing landscapes by reimagining the layout, updating plantings, and adding new features."
Landscaper,"Designing and installing water features such as ponds, waterfalls, fountains, or reflecting pools."
Landscaper,"Providing ongoing maintenance services, including pruning, weeding, fertilizing, and pest control."
Landscaper,"Creating gardens with rock or gravel as the main components, often featuring drought-tolerant plants."
Landscaper,Designing and installing outdoor kitchens or grilling areas for outdoor entertaining.
Landscaper,"Designing landscapes with plants and features that require minimal water, suitable for arid climates."
Landscaper,Installing synthetic turf as an alternative to natural grass for low-maintenance lawns.
Landscaper,"Designing and planting gardens that include edible plants, herbs, and vegetables."
Gardener,"Mowing, edging, and fertilizing lawns to keep them healthy and well-manicured."
Gardener,"Removing weeds from garden beds, lawns, and other landscaped areas to maintain a clean appearance."
Gardener,"Planting new flowers, shrubs, trees, and other plants, as well as relocating existing ones."
Gardener,"Pruning trees, shrubs, and bushes to promote healthy growth and maintain desired shapes."
Gardener,"Applying mulch to garden beds to conserve moisture, suppress weeds, and improve soil quality."
Gardener,"Cultivating soil, adding compost, and preparing planting beds for optimal plant growth."
Gardener,Applying fertilizers to provide essential nutrients for plant growth and development.
Gardener,Ensuring proper watering of plants based on their specific needs and environmental conditions.
Gardener,Identifying and addressing pest infestations and diseases that may affect plants.
Gardener,Introducing seasonal flowers and plants to add color and variety to the garden throughout the year.
Gardener,"Planting and maintaining flowers or vegetables in containers, pots, or hanging baskets."
Gardener,"Establishing and caring for herb and vegetable gardens, including planting and harvesting."
Gardener,Designing and implementing companion planting strategies to enhance plant health and deter pests.
Gardener,Creating and maintaining topiary or ornamental shapes in hedges and shrubs.
Gardener,"Removing debris, dead plants, and other garden waste to maintain a tidy appearance."
Gardener,Creating defined edges around garden beds and pathways for a polished look.
Gardener,"Overhauling existing garden areas by reimagining the layout, updating plantings, and adding new features."
Gardener,"Providing advice and recommendations on garden design, plant selection, and layout."
Gardener,Checking and maintaining irrigation systems to ensure proper watering.
Arborist,"Trimming and pruning trees to promote healthy growth, improve structure, and remove dead or hazardous branches."
Arborist,"Safely removing trees that are dead, diseased, damaged, or pose a risk to property or safety."
Arborist,Advising on suitable tree species for specific locations and planting new trees.
Arborist,"Moving established trees to new locations, ensuring minimal stress and promoting successful transplanting."
Arborist,"Inspecting trees for signs of disease, pests, or structural issues and recommending appropriate treatments."
Arborist,Installing support systems like cables and braces to reinforce weak or structurally compromised branches.
Arborist,Improving soil aeration and applying mulch to enhance the health of tree root systems.
Arborist,"Evaluating the potential risks associated with trees, especially those near structures or high-traffic areas."
Arborist,Identifying and treating tree diseases or pest infestations to prevent further damage.
Arborist,"Addressing issues related to root systems, such as root pruning, barrier installation, or root collar excavation."
Arborist,"Implementing measures to protect trees during construction activities, including root protection zones and pruning."
Arborist,"Responding to and addressing emergency situations, such as fallen trees or storm damage."
Arborist,Conducting tree inventories and developing management plans for large-scale properties or urban areas.
Arborist,"Providing expert advice on tree care, disease management, and overall tree health."
Arborist,"Identifying and mitigating potential hazards posed by trees, especially those with structural weaknesses."
Arborist,"Using specialized climbing techniques to access and work on trees, especially in confined spaces."
Arborist,"Conducting educational programs and workshops on tree care, maintenance, and preservation."
Arborist,Trimming trees near utility lines to ensure safety and prevent power outages.
Arborist,"Conducting research on tree biology, diseases, and best practices in arboriculture."
Plasterer,Applying plaster to interior walls and ceilings to create a smooth and even surface.
Plasterer,Applying a layer of plaster or rendering to the exterior walls of buildings for protection and a decorative finish.
Plasterer,Applying a thin layer of plaster (skim coat) over existing walls or ceilings to create a smooth finish.
Plasterer,Repairing damaged or cracked plaster by patching and reapplying plaster to affected areas.
Plasterer,"Taping, mudding, and finishing drywall seams to create a seamless surface before painting."
Plasterer,"Installing decorative plaster cornices, moldings, and other architectural details."
Plasterer,Installing decorative plaster ceiling roses as a focal point in a room.
Plasterer,Installing plasterboard or drywall on walls and ceilings before plastering.
Plasterer,"Creating textured finishes on walls or ceilings, such as stippling, swirls, or patterns."
Plasterer,"Applying Venetian plaster, a polished plaster technique that creates a smooth and glossy finish."
Plasterer,Applying acoustic plaster to control sound absorption and reduce noise in a space.
Plasterer,Applying fire-resistant plaster coatings for safety and compliance with building codes.
Plasterer,Applying waterproof plaster or sealants to protect walls in damp or wet areas.
Plasterer,Repairing or installing traditional lath and plaster systems common in older buildings.
Plasterer,Constructing partition walls using plasterboard or other materials for dividing interior spaces.
Plasterer,"Creating decorative and artistic plasterwork, such as bas-reliefs or ornamental designs."
Plasterer,"Applying EIFS, a type of exterior wall cladding system that includes insulation and a decorative finish."
Plasterer,Repairing hairline cracks or larger cracks in plaster surfaces.
Plasterer,"Applying stucco, a durable exterior plaster finish, to walls for a textured appearance."
